Created,Title,Content
6/19/23,"TechGnosis: Myth, Magic, and Mysticism in the Age of Information",encoded and recoded and decoded
6/19/23,"TechGnosis: Myth, Magic, and Mysticism in the Age of Information","software bots, intelligent agents, and viral code"
6/19/23,"TechGnosis: Myth, Magic, and Mysticism in the Age of Information",interconnectedness on a whole new ecological level
6/19/23,"TechGnosis: Myth, Magic, and Mysticism in the Age of Information","futuristically recasting the planet as a net, and flesh as data"
6/19/23,"TechGnosis: Myth, Magic, and Mysticism in the Age of Information",Scott Bukatmans Terminal Identity and Mark Derys Escape Velocity)
6/19/23,"TechGnosis: Myth, Magic, and Mysticism in the Age of Information",history of religion was really just a part of the history of media
6/19/23,"TechGnosis: Myth, Magic, and Mysticism in the Age of Information","dark fiber, and vaguely lawless evocations of an electronic frontier"
6/19/23,"TechGnosis: Myth, Magic, and Mysticism in the Age of Information",minutiae of our DNA and the cosmological contours of deep space wormholes
6/19/23,"TechGnosis: Myth, Magic, and Mysticism in the Age of Information",pagan and the paranormal to further colonize the twilight zones of pop media
6/19/23,"TechGnosis: Myth, Magic, and Mysticism in the Age of Information","simulation anyway. If the posthuman future seemed so close, so technological, so secular—"
6/19/23,"TechGnosis: Myth, Magic, and Mysticism in the Age of Information","near-future cities, our media screens morphed before our eyes, as digital media remediated TV"
6/19/23,"TechGnosis: Myth, Magic, and Mysticism in the Age of Information","we build castles out of the shifting sands of consciousness and proclaim them stable, real, and eternal"
6/19/23,"TechGnosis: Myth, Magic, and Mysticism in the Age of Information","Self-help maestros and corporate consultants promulgate New Age therapies while the power elite guzzle ayahuasca and strains of Buddhism and yoga, both scientific and healthy-minded, seep through society at large"
6/19/23,"TechGnosis: Myth, Magic, and Mysticism in the Age of Information","They reflect the fact that people inhabiting all frequencies of the socioeconomic spectrum are intentionally reaching for some of the oldest navigational tools known to humankind: sacred ritual and metaphysical speculation, spiritual regimen and natural spell"
6/19/23,"TechGnosis: Myth, Magic, and Mysticism in the Age of Information","As a pagan dabbler, I grokked that the hermetic and magical fabulations that had gone underground in the modern West had returned, like Freuds repressed hankerings, in technological forms both built and imagined, demonic and transcendent, sublime and ridiculous"
6/19/23,How to Know God: The Yoga Aphorisms of Patanjali,"Where the religious impulse cropped up could be in the most unexpected of places. Thus, nothing is off limits in TechGnosis: LSD research, the history of cybernetics, ancient aliens, sensory-deprivation tanks, Philip K. Dick, genetic engineering, Mondo 2000 magazine, religious cults, Gaia, computer viruses, nineteenth-century electromagnetism, cyberpunk, Scientology, ancient Egypt, Renaissance magic, G. I. Gurdjieff, raves, Marshall McLuhan, technopaganism, Pierre Teilhard de Chardin, Manichaeism, VR, and the Corpus Hermeticum"
6/19/23,How to Know God: The Yoga Aphorisms of Patanjali,an effort to separate the Atman (the Reality) from the non-Atman (the apparent)
6/19/23,How to Know God: The Yoga Aphorisms of Patanjali,"wave which brings with it an increased degree of ignorance, addiction and bondage"
6/19/23,How to Know God: The Yoga Aphorisms of Patanjali,"First, we have to overcome the painful thought-waves by raising waves which are not painful"
6/19/23,How to Know God: The Yoga Aphorisms of Patanjali,"the peace of the Atman within all things, even within the appearance of misery, disease, strife and want"
6/19/23,How to Know God: The Yoga Aphorisms of Patanjali,"The Hindu ritual which corresponds most nearly to the Mass or Lord's Supper is extremely elaborate, and its performance requires almost unbroken attention"
6/19/23,How to Know God: The Yoga Aphorisms of Patanjali,"There are also minds which, though they possess a certain degree of energy, can only dwell on what is pleasant; they shrink away from the disagreeable aspects of life"
6/19/23,How to Know God: The Yoga Aphorisms of Patanjali,"Such expressions as the spirit of democracy, the American way of life, and so forth, bear rich crops of verbal delusion every year, in the newspapers and over the radio"
6/19/23,How to Know God: The Yoga Aphorisms of Patanjali,"Only much later, when the painful thought--waves have been completely stilled, can we proceed to the second stage of discipline; the stilling of the not painful waves which we have deliberately created"
6/19/23,How to Know God: The Yoga Aphorisms of Patanjali,"Even what Western psychologists call introspection or self-knowledge is objective knowledge according to Patanjali, since the mind is not the seer, but only an instrument of knowledge, an object of perception like the outside world"
6/19/23,How to Know God: The Yoga Aphorisms of Patanjali,Manas is the recording faculty which receives impressions gathered by the senses from the outside world. Buddhi is the discriminative faculty which classifies these impressions and reacts to them. Ahamkar is the ego-sense which claims these impressions for its own and stores them up as individual knowledge
6/19/23,How to Know God: The Yoga Aphorisms of Patanjali,"The real Self, the Atman, remains forever outside the power of thought-waves, it is eternally pure, enlightened and free—the only true, unchanging happiness. It follows, therefore, that man can never know his real Self as long as the thought-waves and the ego-sense are being identified. In order to become enlightened we must bring the thought-waves under control, so that this false identification may cease. The Gita teaches us that Yoga is the breaking of contact with pain"
6/19/23,"Transcendental Style in Film: Ozu, Bresson, Dreyer",long take
6/19/23,"Transcendental Style in Film: Ozu, Bresson, Dreyer",non-rational cut
6/19/23,"Transcendental Style in Film: Ozu, Bresson, Dreyer",Sculpting in Time
6/19/23,"Transcendental Style in Film: Ozu, Bresson, Dreyer",action and empathy
6/19/23,"Transcendental Style in Film: Ozu, Bresson, Dreyer",Time becomes story
6/19/23,"Transcendental Style in Film: Ozu, Bresson, Dreyer",phenomenon passing through time
6/19/23,"Transcendental Style in Film: Ozu, Bresson, Dreyer",the movement away from narrative
6/19/23,"Transcendental Style in Film: Ozu, Bresson, Dreyer",Béla Tarr and Lav Diaz and Pedro Costa
6/19/23,"Transcendental Style in Film: Ozu, Bresson, Dreyer","Lav Diaz, Béla Tarr, and Tsai Ming-liang"
6/19/23,"Transcendental Style in Film: Ozu, Bresson, Dreyer",Its the form of things that makes you free
6/19/23,"Transcendental Style in Film: Ozu, Bresson, Dreyer",The film artist molds introspection via duration
6/19/23,"Transcendental Style in Film: Ozu, Bresson, Dreyer",Two intercut moving photographs create narrative
6/19/23,"Transcendental Style in Film: Ozu, Bresson, Dreyer",Time exerts a pressure which runs through the shot
6/19/23,"Transcendental Style in Film: Ozu, Bresson, Dreyer",His theoretical writings echo his journey as a director
6/19/23,"Transcendental Style in Film: Ozu, Bresson, Dreyer",When you hold a chord for a long time it becomes meditative
6/19/23,"Transcendental Style in Film: Ozu, Bresson, Dreyer",being slow to create mood and being slow to activate the viewer
6/19/23,"Transcendental Style in Film: Ozu, Bresson, Dreyer",The train journey places emphasis on expectation rather than presence
6/19/23,"Transcendental Style in Film: Ozu, Bresson, Dreyer","Hollywood specialized in action (the chase), the Soviets in empathy (montage)"
6/19/23,"Transcendental Style in Film: Ozu, Bresson, Dreyer","This is time, time itself . . . a direct time-image which gives change unchanging form"
6/19/23,"Transcendental Style in Film: Ozu, Bresson, Dreyer",Duration can peel back the social veneer of an activity. Duration can invoke the Wholly Other
6/19/23,"Transcendental Style in Film: Ozu, Bresson, Dreyer",Slow cinema works against the grain of cinema itself. It turns its back on what movies do best
6/19/23,"Transcendental Style in Film: Ozu, Bresson, Dreyer",Tarkovsky used film techniques to study time. For Tarkovsky time was not a means to a goal. It was the goal
6/19/23,"Transcendental Style in Film: Ozu, Bresson, Dreyer","I sensed a bridge between the spirituality I was raised with and the profane cinema I loved. And it was a bridge of style, not content"
6/19/23,"Transcendental Style in Film: Ozu, Bresson, Dreyer","It replaces action with stillness, empathy with distance. The techniques of slow cinema are all, to varying degrees, distancing devices"
6/19/23,"Transcendental Style in Film: Ozu, Bresson, Dreyer","three different branches of slow cinema can be seen to move away from narrative in three different directions, each with a different destination"
6/19/23,"Transcendental Style in Film: Ozu, Bresson, Dreyer",Her essay on Robert Bresson in Against Interpretation (1966) and the Aesthetics of Silence in Styles of Radical Will (1967) jolted me into thought
6/19/23,"Transcendental Style in Film: Ozu, Bresson, Dreyer","Tarkovsky realized that what he was really after was more akin to boredom (my choice of word, not Tarkovskys) than slowness. He called it time pressure"
6/19/23,"Transcendental Style in Film: Ozu, Bresson, Dreyer","The film-maker, instead of creating a film world in which the viewer needs only to surrender, creates a world which the spectator must contemplate—or reject out of hand"
6/19/23,"Transcendental Style in Film: Ozu, Bresson, Dreyer","Postwar film-makers realized that just as movement-image could be manipulated to create suspense, time-image could be manipulated to create introspection. We not only fill in the blanks, but we create new blanks"
6/19/23,"Transcendental Style in Film: Ozu, Bresson, Dreyer","How does time make itself felt in a shot? Tarkovsky wrote. It becomes tangible when you realize, quite consciously, that what you see in the frame is not limited to its visual depiction but a pointer to something stretching beyond the frame into infinity"
6/19/23,"Transcendental Style in Film: Ozu, Bresson, Dreyer","The photographic image is the object itself. The object freed from the conditions of time and space that govern it. Viewed from this perspective, the cinema is objectivity in time. Now, for the first time, the image of things is the image of their duration"
6/19/23,"Transcendental Style in Film: Ozu, Bresson, Dreyer","Another way to put it: Deleuze feels that mature cinema (post-WWII) was no longer primarily concerned with telling stories to our conscious selves but now also seeks to communicate with the unconscious and the ways in which the unconscious processes memories, fantasies, and dreams"
6/19/23,"Transcendental Style in Film: Ozu, Bresson, Dreyer","The Tarkovsky long shot is more than long. Its meditative. The psychological effect of slow cinemas long take is unlike any other film technique. Film techniques are about getting there—telling a story, explaining an action, evoking an emotion—whereas the long take is about being there"
6/19/23,"Transcendental Style in Film: Ozu, Bresson, Dreyer","By delaying edits, not moving the camera, forswearing music cues, not employing coverage, and heightening the mundane, transcendental style creates a sense of unease the viewer must resolve. The film-maker assists the viewers impulse for resolution by the use of a Decisive Moment, an unexpected image or act, which then results in a stasis, an acceptance of parallel reality—transcendence"
6/19/23,"Transcendental Style in Film: Ozu, Bresson, Dreyer","viewers. After was slow cinema underwritten by arts organizations. Tarkovsky was not a pure slow cinema stylist—he was more interested in poetry than stasis—but he made slow cinema fashionable. He made Béla Tarr possible. WHAT IS SLOW CINEMA? Slow cinema is a fairly recent term used to designate a branch of art cinema which features minimal narrative, little action or camera movement and long running times. Harry Tuttle listed the four criteria for slow cinema as plotlessness, wordlessness, slowness, and alienation"
6/19/23,"Transcendental Style in Film: Ozu, Bresson, Dreyer","Chantal Akerman, Lisandro Alonso, Theo Angelopoulos, Nuri Bilge Ceylan, Pedro Costa, Claire Denis, Lav Diaz, Bruno Dumont, Michelangelo Frammartino, Hou Hsaio-hsien, Abbas Kiarostami, Kim Ki-duk, Hirokazu Kore-eda, Nicolás Pereda, Kelly Reichardt, Ben Rivers, Alberto Serra, Alexander Sokurov, Jean-Marie Straub and Danièle Huillet, Béla Tarr, Tsai Ming-liang, Apichatpong Weerasethakul. These are very different film-makers with very different artistic intentions. Yet they all use slow cinema techniques. What unites them is time"
6/19/23,The Journey Within: Exploring the Path of Bhakti,proportionately tiny
6/19/23,The Journey Within: Exploring the Path of Bhakti,constructive opportunities in every situation
6/19/23,The Journey Within: Exploring the Path of Bhakti,"secret to simple living is a simple, well-wishing heart"
6/19/23,The Journey Within: Exploring the Path of Bhakti,have no way to repay your love. I can only give you myself
6/19/23,The Journey Within: Exploring the Path of Bhakti,Try to find how many things you have That money cannot buy
6/19/23,The Journey Within: Exploring the Path of Bhakti,Contentment lives only in the hearts of those who are grateful
6/19/23,The Journey Within: Exploring the Path of Bhakti,a true yogi will find the good in others and disregard the rest
6/19/23,The Journey Within: Exploring the Path of Bhakti,its the nature of one who loves the Supreme to be compassionate
6/19/23,The Journey Within: Exploring the Path of Bhakti,"One should be like salt, like a chicken, like a crane, and like you"
6/19/23,The Journey Within: Exploring the Path of Bhakti,"So the mind is something to be used by the self, not the other way around"
6/19/23,The Journey Within: Exploring the Path of Bhakti,"it will direct body, mind, and intelligence to help us live an enlightened life"
6/19/23,The Journey Within: Exploring the Path of Bhakti,"If we allow our material ego to take charge, the atma will enter a dreamlike state"
6/19/23,The Journey Within: Exploring the Path of Bhakti,"Like the crane, they focus on bigger issues and release smaller ones. Their reward?"
6/19/23,The Journey Within: Exploring the Path of Bhakti,How can we transcend like that? Begin by transforming your perceptions and attitudes
6/19/23,The Journey Within: Exploring the Path of Bhakti,"she now introduces him as her eldest son and sometimes adds, Hes a very naughty son, indeed"
6/19/23,The Journey Within: Exploring the Path of Bhakti,Your willingness to endure difficulties in service to others is the nature of a true seeker
6/19/23,The Journey Within: Exploring the Path of Bhakti,"give the mind a more fulfilling and beneficial focus, we can easily overcome its distractions"
